x_34_54_windrange,y_34_54_windrange,x_55_79_windrange,y_55_79_windrange
2.8,5251.3095,2.8,13324.769260606061
3.0,4430.292833333334,3.0,11161.29229090909
3.2,3741.0094999999997,3.2,9340.259866666665
3.4,3103.101166666667,3.4,7846.9322909090915
3.6,2539.7095,3.6,6592.679078787879
3.8,2097.0678333333335,3.8,5552.855654545455
4.0,1730.3178333333333,4.0,4676.463593939394
4.2,1419.3428333333334,4.2,3948.0387757575754
4.4,1166.8345,4.4,3335.588078787878
4.6,955.6861666666667,4.6,2813.942109090909
4.8,797.7778333333332,4.8,2380.602503030303
5.0,652.0386666666667,5.0,2005.7374727272727
5.2,536.6953333333335,5.2,1698.6443515151516
5.4,439.33616666666666,5.4,1444.8589484848485
5.6,364.1903333333334,5.6,1218.7160393939394
5.8,301.10533333333336,5.8,1030.2241424242422
6.0,250.64316666666662,6.0,868.9235666666666
6.2,209.38308333333336,6.2,723.8358545454545
6.4,169.16558333333333,6.4,605.0402424242424
6.6,142.8046666666667,6.6,509.2337212121212
6.8,120.95808333333333,6.8,419.44999393939395
7.0,102.57508333333332,7.0,348.8708787878788
7.2,82.73758333333333,7.2,292.5523212121212
7.4,65.44991666666667,7.4,239.9280212121212
7.6,53.322,7.6,201.50889393939394
7.8,46.383416666666676,7.8,168.337103030303
8.0,39.428,8.0,140.5460696969697
8.2,32.26891666666666,8.2,115.85505757575757
8.4,27.42483333333333,8.4,96.28884848484849
8.6,22.417416666666664,8.6,80.48332121212121
8.8,17.880249999999997,8.8,66.71261818181819
9.0,14.718416666666664,9.0,55.823366666666665
9.2,11.905333333333333,9.2,44.78224545454545
9.4,9.163083333333333,9.4,38.10197575757576
9.6,8.416083333333333,9.6,31.943218181818178
9.8,7.7455,9.8,27.131248484848488
10.0,6.637249999999999,10.0,23.37900606060606
10.2,6.319416666666666,10.2,19.637884848484845
10.4,4.90825,10.4,16.724363636363638
10.6,4.500416666666666,10.6,13.133942424242424
10.8,3.8186666666666667,10.8,10.70921212121212
11.0,3.8186666666666667,11.0,9.199181818181819
11.2,3.4956666666666667,11.2,7.213242424242424
11.4,3.168833333333333,11.4,5.364818181818182
11.6,3.168833333333333,11.6,4.4384848484848485
11.8,3.168833333333333,11.8,3.597575757575758
12.0,2.8098333333333336,12.0,2.619242424242424
12.2,2.450083333333333,12.2,2.148030303030303
12.4,2.0855,12.4,1.3296060606060607
12.6,1.7100833333333334,12.6,1.0891212121212122
12.8,1.1539166666666667,12.8,0.9464848484848485
13.0,0.8181666666666668,13.0,0.7614848484848485
13.2,0.44991666666666674,13.2,0.7614848484848485
13.4,0.44991666666666674,13.4,0.7614848484848485
13.6,0.44991666666666674,13.6,0.6382424242424243
13.8,0.44991666666666674,13.8,0.22506060606060604
14.0,0.44991666666666674,14.0,0.14630303030303032
14.2,0.0,14.2,0.14630303030303032
14.4,0.0,14.4,0.0
14.6,0.0,14.6,0.0
14.8,0.0,14.8,0.0
15.0,0.0,15.0,0.0
15.2,0.0,15.2,0.0
15.4,0.0,15.4,0.0
15.6,0.0,15.6,0.0
15.8,0.0,15.8,0.0
16.0,0.0,16.0,0.0
16.2,0.0,16.2,0.0
16.4,0.0,16.4,0.0
16.6,0.0,16.6,0.0
16.8,0.0,16.8,0.0
17.0,0.0,17.0,0.0
17.2,0.0,17.2,0.0
17.4,0.0,17.4,0.0
17.6,0.0,17.6,0.0
17.8,0.0,17.8,0.0
18.0,0.0,18.0,0.0
18.2,0.0,18.2,0.0
18.4,0.0,18.4,0.0
18.6,0.0,18.6,0.0
18.8,0.0,18.8,0.0
19.0,0.0,19.0,0.0
19.2,0.0,19.2,0.0
19.4,0.0,19.4,0.0
19.6,0.0,19.6,0.0
19.8,0.0,19.8,0.0
